signals	samplings	stddev	ber	rber	complete	time(ms)
29	800	0	0.00271819	0.0440209	1000	90.085
30	800	0	0.00444988	0.0529565	1000	105.249
31	800	0	0.00726996	0.0650126	1000	124.201
32	800	0	0.0107186	0.0754144	1000	134.43
33	800	0	0.0175565	0.0922305	1000	168.584
34	800	0	0.027889	0.114927	1000	205.095
35	800	0	0.0423436	0.137759	1000	284.442
36	800	0	0.061371	0.164132	1000	289.18
37	800	0	0.0980053	0.20618	1000	382.207
38	800	0	0.137257	0.242995	1000	465.944
2	900	0	0	0.00756944	1000	0.734
3	900	0	3.33333e-06	0.00887185	1000	1.434
4	900	0	0	0.00980028	1000	2.277
5	900	0	0	0.0108538	1000	3.587
6	900	0	0	0.011827	1000	4.894
7	900	0	0	0.0126835	1000	6.329
8	900	0	0	0.0135229	1000	7.497
9	900	0	0	0.014406	1000	9.55
10	900	0	0	0.0150491	1000	11.771
11	900	0	0	0.0157522	1000	14.071
12	900	0	0	0.0164642	1000	15.239
13	900	0	0	0.0172436	1000	18.096
14	900	0	0	0.0178278	1000	21.133
15	900	0	1.18519e-06	0.0184653	1000	23.976
16	900	0	1.73611e-06	0.0191277	1000	25.488
17	900	0	0	0.0197225	1000	29.158
18	900	0	8.64198e-07	0.020353	1000	33.244
19	900	0	5.38012e-06	0.020884	1000	36.875
20	900	0	2.85556e-05	0.0215932	1000	38.656
21	900	0	3.5291e-05	0.022351	1000	44.328
22	900	0	8.40404e-05	0.0233547	1000	49.013
23	900	0	8.69469e-05	0.0239302	999	55.3774
24	900	0	0.000154414	0.0246489	999	55.016
25	900	0	0.000274756	0.0260785	1000	63.633
26	900	0	0.000425128	0.027924	1000	71.153
27	900	0	0.000680905	0.0294491	1000	79.421
28	900	0	0.00114968	0.0334193	1000	83.25
29	900	0	0.00139054	0.0364965	1000	95.496
30	900	0	0.00214656	0.0413939	1000	108.902
31	900	0	0.00342742	0.0472837	1000	125.356
32	900	0	0.00445941	0.0518102	1000	132.103
33	900	0	0.00737976	0.0641334	1000	159.447
34	900	0	0.0108405	0.0734455	1000	189.898
35	900	0	0.0158602	0.0885282	1000	225.832
36	900	0	0.0245741	0.109302	1000	258.36
37	900	0	0.0406298	0.137968	999	329.91
38	900	0	0.0627321	0.163495	1000	402.926
39	900	0	0.0979055	0.206935	1000	493.95
40	900	0	0.138146	0.245399	1000	569.008
2	1000	0	0	0.0070245	1000	0.865
3	1000	0	0	0.00817133	1000	1.76
4	1000	0	0	0.00931075	1000	2.6
5	1000	0	0	0.0103216	1000	3.909
6	1000	0	0	0.0112283	1000	5.626
7	1000	0	0	0.0120226	1000	7.462
8	1000	0	0	0.0126988	999	8.47548
9	1000	0	0	0.0135273	1000	10.748
10	1000	0	0	0.0142275	1000	12.886
11	1000	0	0	0.0149402	1000	15.62
12	1000	0	0	0.0156137	1000	16.717
13	1000	0	0	0.0162417	999	19.7137
14	1000	0	0	0.0168984	999	22.2793
15	1000	0	0	0.0174362	1000	24.75
16	1000	0	0	0.0180224	1000	25.792
17	1000	0	0	0.0186355	1000	30.056
18	1000	0	0	0.0191073	1000	33.55
19	1000	0	5.15789e-06	0.0197422	1000	37.335
20	1000	0	5.95e-06	0.0202206	1000	38.555
21	1000	0	1.61429e-05	0.020788	1000	44.137
22	1000	0	2.78182e-05	0.0217348	1000	49.372
23	1000	0	3.67391e-05	0.0220617	1000	55.267
24	1000	0	0.000100625	0.0227499	1000	55.127
25	1000	0	0.00016116	0.0239553	1000	63.655
26	1000	0	0.0002305	0.0249248	1000	70.14
27	1000	0	0.000366815	0.0263116	1000	77.948
28	1000	0	0.00052225	0.0286258	1000	80.252
29	1000	0	0.000761069	0.0302232	1000	91.844
30	1000	0	0.0012096	0.0338497	1000	103.451
31	1000	0	0.00167894	0.0374436	1000	115.094
32	1000	0	0.00230034	0.0414807	1000	119.479
33	1000	0	0.00330906	0.0475088	1000	139.805
34	1000	0	0.00524879	0.0575421	1000	158.924
35	1000	0	0.00767814	0.066415	1000	183.963
36	1000	0	0.0118499	0.0774125	1000	204.472
37	1000	0	0.0177736	0.0953251	1000	244.982
38	1000	0	0.0273357	0.115327	999	296.62
39	1000	0	0.0435121	0.141724	1000	367.45
