signals	samplings	stddev	ber	rber	complete	time(ms)
26	1100	0.05	0.00729541	0.0652774	999	899.244
27	1100	0.05	0.00784596	0.0666875	1000	950.48
28	1100	0.05	0.0077111	0.0676117	1000	1000.33
29	1100	0.05	0.00837251	0.0701372	1000	1131.66
30	1100	0.05	0.00940836	0.0730025	1000	1284.2
31	1100	0.05	0.010063	0.0756518	1000	1405.26
32	1100	0.05	0.0117959	0.0809159	999	1551.16
33	1100	0.05	0.0150371	0.0894535	1000	1779.45
34	1100	0.05	0.0182085	0.0961189	1000	1968.96
35	1100	0.05	0.022785	0.105194	1000	2295.11
36	1100	0.05	0.0298221	0.119492	1000	2618.6
37	1100	0.05	0.0406041	0.135163	1000	3090.24
38	1100	0.05	0.0557499	0.157112	1000	3693.74
39	1100	0.05	0.0768489	0.181528	1000	4252.1
40	1100	0.05	0.10339	0.214269	1000	5026.88
2	1200	0.05	0.0360287	0.0992038	1000	15.205
3	1200	0.05	0.0311211	0.0944122	1000	30.716
4	1200	0.05	0.0232775	0.0848023	1000	50.22
5	1200	0.05	0.0250537	0.087489	1000	54.795
6	1200	0.05	0.0202722	0.0813489	1000	71.635
7	1200	0.05	0.0188342	0.0789574	1000	87.834
8	1200	0.05	0.0160753	0.0761375	1000	105.201
9	1200	0.05	0.0157211	0.0752056	1000	141.126
10	1200	0.05	0.0143506	0.0730444	1000	160.063
11	1200	0.05	0.012926	0.071003	1000	169.586
12	1200	0.05	0.0130219	0.0705531	1000	230.076
13	1200	0.05	0.0122192	0.0695474	1000	298.135
14	1200	0.05	0.0116026	0.0694228	1000	299.094
15	1200	0.05	0.0103572	0.0666919	1000	331.612
16	1200	0.05	0.00952995	0.0658837	999	350.924
17	1200	0.05	0.00945451	0.0662887	1000	392.369
18	1200	0.05	0.00903611	0.0651235	1000	436.589
19	1200	0.05	0.00860219	0.0650757	1000	473.984
20	1200	0.05	0.00768912	0.0635211	1000	561.489
21	1200	0.05	0.00821266	0.0641702	1000	619.014
22	1200	0.05	0.00782187	0.064299	999	674.922
23	1200	0.05	0.00771623	0.0638093	1000	725.675
24	1200	0.05	0.00725566	0.0640048	1000	772.035
25	1200	0.05	0.0072168	0.0641611	1000	836.328
26	1200	0.05	0.00730183	0.0642096	1000	935.11
27	1200	0.05	0.00715426	0.0637363	1000	993.614
28	1200	0.05	0.00746458	0.0658126	1000	1062.91
29	1200	0.05	0.00724874	0.0656595	999	1159.5
30	1200	0.05	0.00809483	0.0683119	1000	1242.9
31	1200	0.05	0.00867132	0.0704126	1000	1265.81
32	1200	0.05	0.00991878	0.0750234	1000	1405.97
33	1200	0.05	0.0108659	0.0792487	1000	1641.88
34	1200	0.05	0.0132118	0.0841489	1000	1840.31
35	1200	0.05	0.0156288	0.0914759	1000	2070.51
36	1200	0.05	0.0192698	0.100755	1000	2346.88
37	1200	0.05	0.0239042	0.107985	1000	2563.91
38	1200	0.05	0.0326774	0.12416	999	2985.32
39	1200	0.05	0.0449691	0.142457	1000	3674.11
40	1200	0.05	0.0617733	0.16813	1000	4697.94
41	1200	0.05	0.0826024	0.190319	1000	5686.2
42	1200	0.05	0.11305	0.222042	1000	6823.61
2	1300	0.05	0.0329619	0.0958381	1000	14.385
3	1300	0.05	0.0283523	0.0897182	1000	28.841
4	1300	0.05	0.0238125	0.0852612	1000	46.537
5	1300	0.05	0.0221942	0.0825957	1000	65.541
6	1300	0.05	0.0215199	0.0820758	1000	88.573
7	1300	0.05	0.0185581	0.0787099	1000	107.496
8	1300	0.05	0.0174512	0.0772661	1000	134.422
9	1300	0.05	0.0149258	0.0733843	999	160.022
10	1300	0.05	0.0139162	0.0713486	1000	184.494
11	1300	0.05	0.0122417	0.0697148	1000	214.7
12	1300	0.05	0.0121788	0.0697806	1000	319.847
13	1300	0.05	0.0116822	0.0687009	1000	292.051
14	1300	0.05	0.0113304	0.0683507	1000	372.128
15	1300	0.05	0.0106267	0.0673915	1000	433.413
16	1300	0.05	0.00987606	0.0661648	1000	470.041
